<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
USD000000TOD,0,20131204,101713,33.257000000,25000
USD000000TOD,0,20131204,101715,33.257000000,175000
USD000000TOD,0,20131204,101715,33.256000000,200000
USD000000TOD,0,20131204,101715,33.256000000,200000
USD000000TOD,0,20131204,101715,33.257000000,20000
USD000000TOD,0,20131204,101715,33.256000000,514000
USD000000TOD,0,20131204,101715,33.255500000,30000
USD000000TOD,0,20131204,101715,33.257000000,50000
USD000000TOD,0,20131204,101715,33.255000000,100000
USD000000TOD,0,20131204,101715,33.255000000,10000
USD000000TOD,0,20131204,101715,33.256500000,63000
USD000000TOD,0,20131204,101718,33.256500000,17000
USD000000TOD,0,20131204,101718,33.256500000,7000
USD000000TOD,0,20131204,101727,33.255000000,25000
USD000000TOD,0,20131204,101727,33.255500000,65000
USD000000TOD,0,20131204,101727,33.256500000,4000
USD000000TOD,0,20131204,101729,33.256500000,301000
USD000000TOD,0,20131204,101732,33.255500000,500000
USD000000TOD,0,20131204,101732,33.255500000,200000
USD000000TOD,0,20131204,101732,33.256500000,95000
USD000000TOD,0,20131204,101732,33.256500000,53000
USD000000TOD,0,20131204,101732,33.256500000,135000
USD000000TOD,0,20131204,101733,33.256500000,500000
USD000000TOD,0,20131204,101733,33.256500000,784000
USD000000TOD,0,20131204,101733,33.256500000,1716000
USD000000TOD,0,20131204,101733,33.254000000,500000
USD000000TOD,0,20131204,101733,33.253500000,113000
USD000000TOD,0,20131204,101733,33.253000000,50000
USD000000TOD,0,20131204,101733,33.253000000,337000
USD000000TOD,0,20131204,101733,33.253000000,5000
USD000000TOD,0,20131204,101736,33.256500000,10000
USD000000TOD,0,20131204,101738,33.256500000,164000
USD000000TOD,0,20131204,101752,33.253500000,30000
