<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USD000000TOD,1,20131204,141000,33.2535000,33.2535000,33.2535000,33.2535000,140000
USD000000TOD,1,20131204,141100,33.2525000,33.2560000,33.2525000,33.2550000,5979000
USD000000TOD,1,20131204,141200,33.2525000,33.2535000,33.2480000,33.2535000,5554000
USD000000TOD,1,20131204,141300,33.2495000,33.2495000,33.2445000,33.2445000,8611000
USD000000TOD,1,20131204,141400,33.2455000,33.2485000,33.2445000,33.2445000,269000
USD000000TOD,1,20131204,141500,33.2480000,33.2480000,33.2480000,33.2480000,70000
USD000000TOD,1,20131204,141600,33.2480000,33.2485000,33.2450000,33.2460000,3905000
USD000000TOD,1,20131204,141700,33.2455000,33.2455000,33.2440000,33.2445000,4968000
USD000000TOD,1,20131204,141800,33.2445000,33.2445000,33.2425000,33.2425000,61000
USD000000TOD,1,20131204,141900,33.2450000,33.2450000,33.2410000,33.2425000,564000
USD000000TOD,1,20131204,142000,33.2410000,33.2435000,33.2400000,33.2400000,3429000
USD000000TOD,1,20131204,142100,33.2410000,33.2410000,33.2400000,33.2405000,5479000
USD000000TOD,1,20131204,142300,33.2420000,33.2445000,33.2375000,33.2400000,7989000
USD000000TOD,1,20131204,142400,33.2405000,33.2405000,33.2370000,33.2405000,1496000
USD000000TOD,1,20131204,142500,33.2410000,33.2410000,33.2410000,33.2410000,1158000
USD000000TOD,1,20131204,142600,33.2400000,33.2400000,33.2395000,33.2400000,730000
USD000000TOD,1,20131204,142700,33.2395000,33.2400000,33.2395000,33.2395000,289000
USD000000TOD,1,20131204,142800,33.2385000,33.2385000,33.2385000,33.2385000,190000
USD000000TOD,1,20131204,142900,33.2375000,33.2375000,33.2375000,33.2375000,13000
USD000000TOD,1,20131204,143000,33.2395000,33.2400000,33.2375000,33.2400000,3366000
USD000000TOD,1,20131204,143100,33.2400000,33.2410000,33.2395000,33.2395000,2085000
USD000000TOD,1,20131204,143200,33.2395000,33.2400000,33.2395000,33.2400000,611000
USD000000TOD,1,20131204,143300,33.2400000,33.2400000,33.2400000,33.2400000,443000
USD000000TOD,1,20131204,143400,33.2400000,33.2400000,33.2370000,33.2385000,522000
USD000000TOD,1,20131204,143500,33.2365000,33.2380000,33.2305000,33.2325000,10735000
USD000000TOD,1,20131204,143600,33.2325000,33.2335000,33.2325000,33.2325000,1187000
USD000000TOD,1,20131204,143700,33.2320000,33.2320000,33.2300000,33.2310000,5991000
USD000000TOD,1,20131204,143800,33.2305000,33.2305000,33.2250000,33.2250000,1314000
USD000000TOD,1,20131204,143900,33.2255000,33.2285000,33.2245000,33.2280000,1970000
USD000000TOD,1,20131204,144000,33.2280000,33.2285000,33.2250000,33.2285000,1903000
USD000000TOD,1,20131204,144100,33.2280000,33.2280000,33.2200000,33.2250000,11884000
USD000000TOD,1,20131204,144300,33.2250000,33.2250000,33.2205000,33.2230000,2307000
USD000000TOD,1,20131204,144400,33.2235000,33.2250000,33.2235000,33.2240000,1396000
USD000000TOD,1,20131204,144500,33.2255000,33.2260000,33.2230000,33.2230000,1610000
USD000000TOD,1,20131204,144600,33.2230000,33.2255000,33.2230000,33.2230000,765000
USD000000TOD,1,20131204,144700,33.2245000,33.2245000,33.2240000,33.2240000,294000
USD000000TOD,1,20131204,144800,33.2250000,33.2260000,33.2250000,33.2250000,1430000
USD000000TOD,1,20131204,144900,33.2255000,33.2255000,33.2250000,33.2255000,903000
USD000000TOD,1,20131204,145000,33.2255000,33.2260000,33.2255000,33.2255000,1026000
USD000000TOD,1,20131204,145100,33.2250000,33.2255000,33.2245000,33.2255000,775000
USD000000TOD,1,20131204,145200,33.2250000,33.2250000,33.2225000,33.2250000,2655000
USD000000TOD,1,20131204,145300,33.2245000,33.2245000,33.2185000,33.2185000,19139000
USD000000TOD,1,20131204,145400,33.2200000,33.2205000,33.2185000,33.2205000,4632000
USD000000TOD,1,20131204,145500,33.2200000,33.2210000,33.2200000,33.2210000,2000000
USD000000TOD,1,20131204,145600,33.2205000,33.2205000,33.2200000,33.2200000,14000
USD000000TOD,1,20131204,145700,33.2180000,33.2190000,33.2180000,33.2180000,1599000
USD000000TOD,1,20131204,145800,33.2175000,33.2180000,33.2110000,33.2145000,25047000
USD000000TOD,1,20131204,145900,33.2110000,33.2110000,33.2010000,33.2025000,11616000
USD000000TOD,1,20131204,150000,33.2010000,33.2025000,33.1990000,33.2025000,3277000
USD000000TOD,1,20131204,150100,33.2050000,33.2050000,33.2045000,33.2045000,725000
USD000000TOD,1,20131204,150200,33.2045000,33.2045000,33.1895000,33.1895000,6566000
USD000000TOD,1,20131204,150300,33.1950000,33.1990000,33.1940000,33.1950000,2677000
USD000000TOD,1,20131204,150400,33.1950000,33.1950000,33.1900000,33.1925000,2665000
USD000000TOD,1,20131204,150500,33.1905000,33.1935000,33.1900000,33.1925000,1695000
USD000000TOD,1,20131204,150600,33.1915000,33.1925000,33.1895000,33.1900000,2297000
